date,last_update,confirmed,confirmed_diff,deaths,deaths_diff,recovered,recovered_diff,active,active_diff,fatality_rate
2020-03-14,2020-03-14 22:33:04,2726,544,54,7,12,0,2660,537,0.0198
2020-03-15,2020-03-15 18:33:03,3499,769,63,9,12,0,3424,760,0.018
2020-03-16,2020-03-16 23:53:03,4632,1133,85,22,17,5,4530,1106,0.0184
2020-03-17,2020-03-17 23:53:03,6421,1789,108,23,17,0,6296,1766,0.0168
2020-03-18,2020-03-18 19:53:03,7786,1362,118,10,106,-17,7562,1369,0.0152
2020-03-19,2020-03-19 23:43:04,13680,5894,200,82,108,2,13372,5810,0.0146
2020-03-20,2020-03-20 23:43:03,19101,5424,244,44,147,39,18710,5341,0.0128
2020-03-21,2020-03-21 23:13:18,25493,6392,307,63,171,24,25015,6305,0.012
2020-03-22,2020-03-22 23:45:00,33848,8355,427,120,0,0,33421,8235,0.0126
2020-03-23,2020-03-23 23:19:34,43663,9819,552,125,0,0,43111,9694,0.0126
2020-03-24,2020-03-24 23:37:31,53736,10073,706,154,348,0,52682,9919,0.0131
2020-03-25,2020-03-25 23:33:19,65778,12042,942,236,361,13,64475,11793,0.0143
2020-03-26,2020-03-26 23:48:35,83836,18058,1209,267,681,320,81946,17471,0.0144
2020-03-27,2020-03-27 22:14:55,101657,17821,1581,372,869,188,99207,17261,0.0156
2020-03-28,2020-03-28 23:05:00,121465,19808,2026,445,1072,203,118367,19160,0.0167
2020-03-29,2020-03-29 23:08:00,140909,19444,2467,441,2665,1593,135777,17410,0.0175
2020-03-30,2020-03-30 22:52:00,161831,20922,2978,511,5644,2979,153209,17432,0.0184
2020-03-31,2020-03-31 23:43:56,188172,26341,3873,895,7024,1380,177275,24066,0.0206
2020-04-01,2020-04-01 21:58:49,213372,25200,4757,884,8474,1450,200141,22866,0.0223
2020-04-02,2020-04-02 23:25:00,243599,30227,5926,1169,9001,527,228672,28531,0.0243
2020-04-03,2020-04-03 22:46:37,275586,31987,7087,1161,9707,706,258792,30120,0.0257
2020-04-04,2020-04-04 23:34:00,308853,33267,8407,1320,14652,4945,285794,27002,0.0272
2020-04-05,2020-04-05 23:06:45,337072,28219,9619,1212,17448,2796,310005,24211,0.0285
2020-04-06,2020-04-06 23:22:00,366667,29595,10783,1164,19581,2133,336303,26298,0.0294
2020-04-07,2020-04-07 23:04:49,396223,29556,12722,1939,21763,2182,361738,25435,0.0321
2020-04-08,2020-04-08 22:51:58,429052,32829,14695,1973,23559,1796,390798,29060,0.0342
2020-04-09,2020-04-09 23:02:37,461437,32385,16478,1783,25410,1851,419549,28751,0.0357
2020-04-10,2020-04-10 22:54:07,496535,35098,18586,2108,28790,3380,449159,29610,0.0374
2020-04-11,2020-04-11 22:45:33,526396,29861,20462,1876,31270,2480,474664,25505,0.0389
2020-04-12,2020-04-12 23:18:00,555313,28917,22019,1557,32988,1718,500306,25642,0.0397
2020-04-13,2020-04-13 23:07:54,580619,25306,23528,1509,43482,10494,513609,13303,0.0405
2020-04-14,2020-04-14 23:33:31,607670,27051,25831,2303,47763,4281,534076,20467,0.0425
2020-04-15,2020-04-15 22:56:51,636350,28680,28325,2494,52096,4333,555929,21853,0.0445
2020-04-16,2020-04-16 23:30:51,667801,31451,32916,4591,54703,2607,580182,24253,0.0493
2020-04-17,2020-04-17 23:30:52,699706,31905,36773,3857,58545,3842,604388,24206,0.0526
2020-04-18,2020-04-18 22:32:47,732197,32491,38664,1891,64840,6295,628693,24305,0.0528
2020-04-19,2020-04-19 23:41:01,759086,26889,40661,1997,70337,5497,648088,19395,0.0536
2020-04-20,2020-04-20 23:44:33,784326,25240,42094,1433,72329,1992,669903,21815,0.0537
2020-04-21,2020-04-21 23:38:51,823786,27710,44845,2350,75204,2875,703737,22485,0.0544
2020-04-22,2020-04-22 23:38:40,839675,27639,46583,2139,77366,2162,715726,23338,0.0555
2020-04-23,2020-04-24 03:31:05,869170,29495,49954,3371,80203,2837,739013,23287,0.0575
2020-04-24,2020-04-25 06:31:05,905333,36163,51949,1995,99079,18876,754305,15292,0.0574
